Jurisdiction,Week Ending Date,State Abbreviation,Year,Week,Age Group,Number of Deaths,Time Period,Type,Suppress,
United States,2/28/15,US,2015,8,65-74 years,10033,2015-2019,Predicted (weighted),,
United States,2/28/15,US,2015,8,75-84 years,13378,2015-2019,Predicted (weighted),,
United States,2/28/15,US,2015,8,85 years and older,18445,2015-2019,Predicted (weighted),,
United States,2/28/15,US,2015,8,Under 25 years,1180,2015-2019,Predicted (weighted),,
United States,3/7/15,US,2015,9,25-44 years,2465,2015-2019,Predicted (weighted),,
United States,3/7/15,US,2015,9,45-64 years,10778,2015-2019,Predicted (weighted),,
United States,3/7/15,US,2015,9,65-74 years,10103,2015-2019,Predicted (weighted),,
United States,3/7/15,US,2015,9,75-84 years,13080,2015-2019,Predicted (weighted),,
United States,3/7/15,US,2015,9,85 years and older,18264,2015-2019,Predicted (weighted),,
United States,3/7/15,US,2015,9,Under 25 years,1137,2015-2019,Predicted (weighted),,
United States,3/14/15,US,2015,10,25-44 years,2432,2015-2019,Predicted (weighted),,
United States,3/14/15,US,2015,10,45-64 years,10705,2015-2019,Predicted (weighted),,
United States,3/14/15,US,2015,10,65-74 years,9925,2015-2019,Predicted (weighted),,
United States,3/14/15,US,2015,10,75-84 years,12969,2015-2019,Predicted (weighted),,
United States,3/14/15,US,2015,10,85 years and older,18200,2015-2019,Predicted (weighted),,
United States,3/14/15,US,2015,10,Under 25 years,1143,2015-2019,Predicted (weighted),,
United States,3/21/15,US,2015,11,25-44 years,2384,2015-2019,Predicted (weighted),,
United States,3/21/15,US,2015,11,45-64 years,10524,2015-2019,Predicted (weighted),,
United States,3/21/15,US,2015,11,65-74 years,9938,2015-2019,Predicted (weighted),,
United States,3/21/15,US,2015,11,75-84 years,12813,2015-2019,Predicted (weighted),,
United States,3/21/15,US,2015,11,85 years and older,17503,2015-2019,Predicted (weighted),,
United States,3/21/15,US,2015,11,Under 25 years,1226,2015-2019,Predicted (weighted),,
United States,3/28/15,US,2015,12,25-44 years,2266,2015-2019,Predicted (weighted),,
United States,3/28/15,US,2015,12,45-64 years,10206,2015-2019,Predicted (weighted),,
United States,3/28/15,US,2015,12,65-74 years,9585,2015-2019,Predicted (weighted),,
United States,3/28/15,US,2015,12,75-84 years,12766,2015-2019,Predicted (weighted),,
United States,3/28/15,US,2015,12,85 years and older,17279,2015-2019,Predicted (weighted),,
United States,3/28/15,US,2015,12,Under 25 years,1233,2015-2019,Predicted (weighted),,
United States,4/4/15,US,2015,13,25-44 years,2336,2015-2019,Predicted (weighted),,
United States,4/4/15,US,2015,13,45-64 years,10303,2015-2019,Predicted (weighted),,
United States,4/4/15,US,2015,13,65-74 years,9695,2015-2019,Predicted (weighted),,
United States,4/4/15,US,2015,13,75-84 years,12502,2015-2019,Predicted (weighted),,
United States,4/4/15,US,2015,13,85 years and older,17085,2015-2019,Predicted (weighted),,
United States,4/4/15,US,2015,13,Under 25 years,1200,2015-2019,Predicted (weighted),,
United States,4/11/15,US,2015,14,25-44 years,2288,2015-2019,Predicted (weighted),,
United States,4/11/15,US,2015,14,45-64 years,10432,2015-2019,Predicted (weighted),,
United States,4/11/15,US,2015,14,65-74 years,9798,2015-2019,Predicted (weighted),,
United States,4/11/15,US,2015,14,75-84 years,12287,2015-2019,Predicted (weighted),,
United States,4/11/15,US,2015,14,85 years and older,16831,2015-2019,Predicted (weighted),,
United States,4/11/15,US,2015,14,Under 25 years,1149,2015-2019,Predicted (weighted),,
United States,4/18/15,US,2015,15,25-44 years,2455,2015-2019,Predicted (weighted),,
United States,4/18/15,US,2015,15,45-64 years,10162,2015-2019,Predicted (weighted),,
United States,4/18/15,US,2015,15,65-74 years,9618,2015-2019,Predicted (weighted),,
United States,4/18/15,US,2015,15,75-84 years,12613,2015-2019,Predicted (weighted),,
United States,4/18/15,US,2015,15,85 years and older,16866,2015-2019,Predicted (weighted),,
United States,4/18/15,US,2015,15,Under 25 years,1237,2015-2019,Predicted (weighted),,
United States,4/25/15,US,2015,16,25-44 years,2300,2015-2019,Predicted (weighted),,
United States,4/25/15,US,2015,16,45-64 years,10025,2015-2019,Predicted (weighted),,
United States,4/25/15,US,2015,16,65-74 years,9531,2015-2019,Predicted (weighted),,
United States,4/25/15,US,2015,16,75-84 years,12300,2015-2019,Predicted (weighted),,
United States,4/25/15,US,2015,16,85 years and older,16286,2015-2019,Predicted (weighted),,
United States,4/25/15,US,2015,16,Under 25 years,1260,2015-2019,Predicted (weighted),,
United States,5/2/15,US,2015,17,25-44 years,2302,2015-2019,Predicted (weighted),,
United States,5/2/15,US,2015,17,45-64 years,10101,2015-2019,Predicted (weighted),,
United States,5/2/15,US,2015,17,65-74 years,9257,2015-2019,Predicted (weighted),,
United States,5/2/15,US,2015,17,75-84 years,12334,2015-2019,Predicted (weighted),,
United States,5/2/15,US,2015,17,85 years and older,16331,2015-2019,Predicted (weighted),,
United States,5/2/15,US,2015,17,Under 25 years,1256,2015-2019,Predicted (weighted),,
United States,5/9/15,US,2015,18,25-44 years,2485,2015-2019,Predicted (weighted),,
United States,5/9/15,US,2015,18,45-64 years,10246,2015-2019,Predicted (weighted),,
United States,5/9/15,US,2015,18,65-74 years,9411,2015-2019,Predicted (weighted),,
United States,5/9/15,US,2015,18,75-84 years,12064,2015-2019,Predicted (weighted),,
United States,5/9/15,US,2015,18,85 years and older,16318,2015-2019,Predicted (weighted),,
United States,5/9/15,US,2015,18,Under 25 years,1222,2015-2019,Predicted (weighted),,
United States,5/16/15,US,2015,19,25-44 years,2440,2015-2019,Predicted (weighted),,
United States,5/16/15,US,2015,19,45-64 years,10269,2015-2019,Predicted (weighted),,
United States,5/16/15,US,2015,19,65-74 years,9323,2015-2019,Predicted (weighted),,
United States,5/16/15,US,2015,19,75-84 years,11876,2015-2019,Predicted (weighted),,
United States,5/16/15,US,2015,19,85 years and older,15605,2015-2019,Predicted (weighted),,
United States,5/16/15,US,2015,19,Under 25 years,1258,2015-2019,Predicted (weighted),,
United States,5/23/15,US,2015,20,25-44 years,2344,2015-2019,Predicted (weighted),,
United States,5/23/15,US,2015,20,45-64 years,9804,2015-2019,Predicted (weighted),,
United States,5/23/15,US,2015,20,65-74 years,9032,2015-2019,Predicted (weighted),,
United States,5/23/15,US,2015,20,75-84 years,11503,2015-2019,Predicted (weighted),,
United States,5/23/15,US,2015,20,85 years and older,15502,2015-2019,Predicted (weighted),,
United States,5/23/15,US,2015,20,Under 25 years,1243,2015-2019,Predicted (weighted),,
United States,5/30/15,US,2015,21,25-44 years,2319,2015-2019,Predicted (weighted),,
United States,5/30/15,US,2015,21,45-64 years,9969,2015-2019,Predicted (weighted),,
United States,5/30/15,US,2015,21,65-74 years,9212,2015-2019,Predicted (weighted),,
United States,5/30/15,US,2015,21,75-84 years,11587,2015-2019,Predicted (weighted),,
United States,5/30/15,US,2015,21,85 years and older,15518,2015-2019,Predicted (weighted),,
United States,5/30/15,US,2015,21,Under 25 years,1223,2015-2019,Predicted (weighted),,
United States,6/6/15,US,2015,22,25-44 years,2405,2015-2019,Predicted (weighted),,
United States,6/6/15,US,2015,22,45-64 years,9910,2015-2019,Predicted (weighted),,
United States,6/6/15,US,2015,22,65-74 years,8900,2015-2019,Predicted (weighted),,
United States,6/6/15,US,2015,22,75-84 years,11509,2015-2019,Predicted (weighted),,
United States,6/6/15,US,2015,22,85 years and older,15195,2015-2019,Predicted (weighted),,
United States,6/6/15,US,2015,22,Under 25 years,1213,2015-2019,Predicted (weighted),,
United States,6/13/15,US,2015,23,25-44 years,2482,2015-2019,Predicted (weighted),,
United States,6/13/15,US,2015,23,45-64 years,10015,2015-2019,Predicted (weighted),,
United States,6/13/15,US,2015,23,65-74 years,9156,2015-2019,Predicted (weighted),,
United States,6/13/15,US,2015,23,75-84 years,11656,2015-2019,Predicted (weighted),,
United States,6/13/15,US,2015,23,85 years and older,15230,2015-2019,Predicted (weighted),,
United States,6/13/15,US,2015,23,Under 25 years,1306,2015-2019,Predicted (weighted),,
United States,6/20/15,US,2015,24,25-44 years,2407,2015-2019,Predicted (weighted),,
United States,6/20/15,US,2015,24,45-64 years,10087,2015-2019,Predicted (weighted),,
United States,6/20/15,US,2015,24,65-74 years,8972,2015-2019,Predicted (weighted),,
United States,6/20/15,US,2015,24,75-84 years,11281,2015-2019,Predicted (weighted),,
United States,6/20/15,US,2015,24,85 years and older,15121,2015-2019,Predicted (weighted),,
United States,6/20/15,US,2015,24,Under 25 years,1354,2015-2019,Predicted (weighted),,
United States,6/27/15,US,2015,25,25-44 years,2389,2015-2019,Predicted (weighted),,
United States,6/27/15,US,2015,25,45-64 years,10067,2015-2019,Predicted (weighted),,
United States,6/27/15,US,2015,25,65-74 years,9097,2015-2019,Predicted (weighted),,
United States,6/27/15,US,2015,25,75-84 years,11312,2015-2019,Predicted (weighted),,
United States,6/27/15,US,2015,25,85 years and older,15017,2015-2019,Predicted (weighted),,
United States,6/27/15,US,2015,25,Under 25 years,1287,2015-2019,Predicted (weighted),,
United States,7/4/15,US,2015,26,25-44 years,2438,2015-2019,Predicted (weighted),,
United States,7/4/15,US,2015,26,45-64 years,10004,2015-2019,Predicted (weighted),,
United States,7/4/15,US,2015,26,65-74 years,8997,2015-2019,Predicted (weighted),,
United States,7/4/15,US,2015,26,75-84 years,11490,2015-2019,Predicted (weighted),,
United States,7/4/15,US,2015,26,85 years and older,15085,2015-2019,Predicted (weighted),,
United States,7/4/15,US,2015,26,Under 25 years,1320,2015-2019,Predicted (weighted),,
United States,7/11/15,US,2015,27,25-44 years,2528,2015-2019,Predicted (weighted),,
United States,7/11/15,US,2015,27,45-64 years,9963,2015-2019,Predicted (weighted),,
United States,7/11/15,US,2015,27,65-74 years,9040,2015-2019,Predicted (weighted),,
United States,7/11/15,US,2015,27,75-84 years,11284,2015-2019,Predicted (weighted),,
United States,7/11/15,US,2015,27,85 years and older,14955,2015-2019,Predicted (weighted),,
United States,7/11/15,US,2015,27,Under 25 years,1256,2015-2019,Predicted (weighted),,
United States,7/18/15,US,2015,28,25-44 years,2401,2015-2019,Predicted (weighted),,
United States,7/18/15,US,2015,28,45-64 years,9941,2015-2019,Predicted (weighted),,
United States,7/18/15,US,2015,28,65-74 years,9126,2015-2019,Predicted (weighted),,
United States,7/18/15,US,2015,28,75-84 years,11534,2015-2019,Predicted (weighted),,
United States,7/18/15,US,2015,28,85 years and older,15062,2015-2019,Predicted (weighted),,
United States,7/18/15,US,2015,28,Under 25 years,1273,2015-2019,Predicted (weighted),,
United States,7/25/15,US,2015,29,25-44 years,2353,2015-2019,Predicted (weighted),,
United States,7/25/15,US,2015,29,45-64 years,9798,2015-2019,Predicted (weighted),,
United States,7/25/15,US,2015,29,65-74 years,8905,2015-2019,Predicted (weighted),,
United States,7/25/15,US,2015,29,75-84 years,11290,2015-2019,Predicted (weighted),,
United States,7/25/15,US,2015,29,85 years and older,15050,2015-2019,Predicted (weighted),,
United States,7/25/15,US,2015,29,Under 25 years,1259,2015-2019,Predicted (weighted),,
United States,8/1/15,US,2015,30,25-44 years,2473,2015-2019,Predicted (weighted),,
United States,8/1/15,US,2015,30,45-64 years,9851,2015-2019,Predicted (weighted),,
United States,8/1/15,US,2015,30,65-74 years,8838,2015-2019,Predicted (weighted),,
United States,8/1/15,US,2015,30,75-84 years,11264,2015-2019,Predicted (weighted),,
United States,8/1/15,US,2015,30,85 years and older,14709,2015-2019,Predicted (weighted),,
United States,8/1/15,US,2015,30,Under 25 years,1248,2015-2019,Predicted (weighted),,
United States,8/8/15,US,2015,31,25-44 years,2458,2015-2019,Predicted (weighted),,
United States,8/8/15,US,2015,31,45-64 years,9852,2015-2019,Predicted (weighted),,
United States,8/8/15,US,2015,31,65-74 years,8799,2015-2019,Predicted (weighted),,
United States,8/8/15,US,2015,31,75-84 years,11006,2015-2019,Predicted (weighted),,
United States,8/8/15,US,2015,31,85 years and older,14438,2015-2019,Predicted (weighted),,
United States,8/8/15,US,2015,31,Under 25 years,1311,2015-2019,Predicted (weighted),,
United States,8/15/15,US,2015,32,25-44 years,2443,2015-2019,Predicted (weighted),,
United States,8/15/15,US,2015,32,45-64 years,9797,2015-2019,Predicted (weighted),,
United States,8/15/15,US,2015,32,65-74 years,8781,2015-2019,Predicted (weighted),,
United States,8/15/15,US,2015,32,75-84 years,11096,2015-2019,Predicted (weighted),,
United States,8/15/15,US,2015,32,85 years and older,14706,2015-2019,Predicted (weighted),,
United States,8/15/15,US,2015,32,Under 25 years,1246,2015-2019,Predicted (weighted),,
United States,8/22/15,US,2015,33,25-44 years,2384,2015-2019,Predicted (weighted),,
United States,8/22/15,US,2015,33,45-64 years,9928,2015-2019,Predicted (weighted),,
United States,8/22/15,US,2015,33,65-74 years,9028,2015-2019,Predicted (weighted),,
United States,8/22/15,US,2015,33,75-84 years,11407,2015-2019,Predicted (weighted),,
United States,8/22/15,US,2015,33,85 years and older,14526,2015-2019,Predicted (weighted),,
United States,8/22/15,US,2015,33,Under 25 years,1290,2015-2019,Predicted (weighted),,
United States,8/29/15,US,2015,34,25-44 years,2455,2015-2019,Predicted (weighted),,
United States,8/29/15,US,2015,34,45-64 years,9821,2015-2019,Predicted (weighted),,
United States,8/29/15,US,2015,34,65-74 years,8967,2015-2019,Predicted (weighted),,
United States,8/29/15,US,2015,34,75-84 years,11239,2015-2019,Predicted (weighted),,
United States,8/29/15,US,2015,34,85 years and older,14900,2015-2019,Predicted (weighted),,
United States,8/29/15,US,2015,34,Under 25 years,1233,2015-2019,Predicted (weighted),,
United States,9/5/15,US,2015,35,25-44 years,2596,2015-2019,Predicted (weighted),,
United States,9/5/15,US,2015,35,45-64 years,9994,2015-2019,Predicted (weighted),,
United States,9/5/15,US,2015,35,65-74 years,9002,2015-2019,Predicted (weighted),,
United States,9/5/15,US,2015,35,75-84 years,11172,2015-2019,Predicted (weighted),,
United States,9/5/15,US,2015,35,85 years and older,14845,2015-2019,Predicted (weighted),,
United States,9/5/15,US,2015,35,Under 25 years,1208,2015-2019,Predicted (weighted),,
United States,9/12/15,US,2015,36,25-44 years,2468,2015-2019,Predicted (weighted),,
United States,9/12/15,US,2015,36,45-64 years,9815,2015-2019,Predicted (weighted),,
United States,9/12/15,US,2015,36,65-74 years,9136,2015-2019,Predicted (weighted),,
United States,9/12/15,US,2015,36,75-84 years,11322,2015-2019,Predicted (weighted),,
United States,9/12/15,US,2015,36,85 years and older,14904,2015-2019,Predicted (weighted),,
United States,9/12/15,US,2015,36,Under 25 years,1240,2015-2019,Predicted (weighted),,
United States,9/19/15,US,2015,37,25-44 years,2392,2015-2019,Predicted (weighted),,
United States,9/19/15,US,2015,37,45-64 years,9884,2015-2019,Predicted (weighted),,
United States,9/19/15,US,2015,37,65-74 years,9274,2015-2019,Predicted (weighted),,
United States,9/19/15,US,2015,37,75-84 years,11220,2015-2019,Predicted (weighted),,
United States,9/19/15,US,2015,37,85 years and older,15026,2015-2019,Predicted (weighted),,
United States,9/19/15,US,2015,37,Under 25 years,1139,2015-2019,Predicted (weighted),,
United States,9/26/15,US,2015,38,25-44 years,2395,2015-2019,Predicted (weighted),,
United States,9/26/15,US,2015,38,45-64 years,9877,2015-2019,Predicted (weighted),,
United States,9/26/15,US,2015,38,65-74 years,9118,2015-2019,Predicted (weighted),,
United States,9/26/15,US,2015,38,75-84 years,11392,2015-2019,Predicted (weighted),,
United States,9/26/15,US,2015,38,85 years and older,15280,2015-2019,Predicted (weighted),,
United States,9/26/15,US,2015,38,Under 25 years,1264,2015-2019,Predicted (weighted),,
United States,10/3/15,US,2015,39,25-44 years,2390,2015-2019,Predicted (weighted),,
United States,10/3/15,US,2015,39,45-64 years,9862,2015-2019,Predicted (weighted),,
United States,10/3/15,US,2015,39,65-74 years,9134,2015-2019,Predicted (weighted),,
United States,10/3/15,US,2015,39,75-84 years,11506,2015-2019,Predicted (weighted),,
United States,10/3/15,US,2015,39,85 years and older,14901,2015-2019,Predicted (weighted),,
United States,10/3/15,US,2015,39,Under 25 years,1126,2015-2019,Predicted (weighted),,
United States,10/10/15,US,2015,40,25-44 years,2508,2015-2019,Predicted (weighted),,
United States,10/10/15,US,2015,40,45-64 years,10210,2015-2019,Predicted (weighted),,
United States,10/10/15,US,2015,40,65-74 years,9544,2015-2019,Predicted (weighted),,
United States,10/10/15,US,2015,40,75-84 years,12043,2015-2019,Predicted (weighted),,
United States,10/10/15,US,2015,40,85 years and older,15515,2015-2019,Predicted (weighted),,
United States,10/10/15,US,2015,40,Under 25 years,1228,2015-2019,Predicted (weighted),,
United States,10/17/15,US,2015,41,25-44 years,2460,2015-2019,Predicted (weighted),,
United States,10/17/15,US,2015,41,45-64 years,9874,2015-2019,Predicted (weighted),,
United States,10/17/15,US,2015,41,65-74 years,9295,2015-2019,Predicted (weighted),,
United States,10/17/15,US,2015,41,75-84 years,11575,2015-2019,Predicted (weighted),,
United States,10/17/15,US,2015,41,85 years and older,15507,2015-2019,Predicted (weighted),,
United States,10/17/15,US,2015,41,Under 25 years,1225,2015-2019,Predicted (weighted),,
United States,10/24/15,US,2015,42,25-44 years,2445,2015-2019,Predicted (weighted),,
United States,10/24/15,US,2015,42,45-64 years,9982,2015-2019,Predicted (weighted),,
United States,10/24/15,US,2015,42,65-74 years,9346,2015-2019,Predicted (weighted),,
United States,10/24/15,US,2015,42,75-84 years,11861,2015-2019,Predicted (weighted),,
United States,10/24/15,US,2015,42,85 years and older,15949,2015-2019,Predicted (weighted),,
United States,10/24/15,US,2015,42,Under 25 years,1175,2015-2019,Predicted (weighted),,
United States,10/31/15,US,2015,43,25-44 years,2358,2015-2019,Predicted (weighted),,
United States,10/31/15,US,2015,43,45-64 years,10081,2015-2019,Predicted (weighted),,
United States,10/31/15,US,2015,43,65-74 years,9362,2015-2019,Predicted (weighted),,
United States,10/31/15,US,2015,43,75-84 years,11699,2015-2019,Predicted (weighted),,
United States,10/31/15,US,2015,43,85 years and older,15807,2015-2019,Predicted (weighted),,
United States,10/31/15,US,2015,43,Under 25 years,1167,2015-2019,Predicted (weighted),,
United States,11/7/15,US,2015,44,25-44 years,2408,2015-2019,Predicted (weighted),,
United States,11/7/15,US,2015,44,45-64 years,10076,2015-2019,Predicted (weighted),,
United States,11/7/15,US,2015,44,65-74 years,9562,2015-2019,Predicted (weighted),,
United States,11/7/15,US,2015,44,75-84 years,12120,2015-2019,Predicted (weighted),,
United States,11/7/15,US,2015,44,85 years and older,15864,2015-2019,Predicted (weighted),,
United States,11/7/15,US,2015,44,Under 25 years,1241,2015-2019,Predicted (weighted),,
United States,11/14/15,US,2015,45,25-44 years,2400,2015-2019,Predicted (weighted),,
United States,11/14/15,US,2015,45,45-64 years,10219,2015-2019,Predicted (weighted),,
United States,11/14/15,US,2015,45,65-74 years,9406,2015-2019,Predicted (weighted),,
United States,11/14/15,US,2015,45,75-84 years,11904,2015-2019,Predicted (weighted),,
United States,11/14/15,US,2015,45,85 years and older,15701,2015-2019,Predicted (weighted),,
United States,11/14/15,US,2015,45,Under 25 years,1125,2015-2019,Predicted (weighted),,
United States,11/21/15,US,2015,46,25-44 years,2337,2015-2019,Predicted (weighted),,
United States,11/21/15,US,2015,46,45-64 years,10062,2015-2019,Predicted (weighted),,
United States,11/21/15,US,2015,46,65-74 years,9584,2015-2019,Predicted (weighted),,
United States,11/21/15,US,2015,46,75-84 years,12189,2015-2019,Predicted (weighted),,
United States,11/21/15,US,2015,46,85 years and older,16172,2015-2019,Predicted (weighted),,
United States,11/21/15,US,2015,46,Under 25 years,1145,2015-2019,Predicted (weighted),,
United States,11/28/15,US,2015,47,25-44 years,2286,2015-2019,Predicted (weighted),,
United States,11/28/15,US,2015,47,45-64 years,10065,2015-2019,Predicted (weighted),,
United States,11/28/15,US,2015,47,65-74 years,9527,2015-2019,Predicted (weighted),,
United States,11/28/15,US,2015,47,75-84 years,11957,2015-2019,Predicted (weighted),,
United States,11/28/15,US,2015,47,85 years and older,16266,2015-2019,Predicted (weighted),,
United States,11/28/15,US,2015,47,Under 25 years,1191,2015-2019,Predicted (weighted),,
United States,12/5/15,US,2015,48,25-44 years,2408,2015-2019,Predicted (weighted),,
United States,12/5/15,US,2015,48,45-64 years,10324,2015-2019,Predicted (weighted),,
United States,12/5/15,US,2015,48,65-74 years,9574,2015-2019,Predicted (weighted),,
United States,12/5/15,US,2015,48,75-84 years,12172,2015-2019,Predicted (weighted),,
United States,12/5/15,US,2015,48,85 years and older,16393,2015-2019,Predicted (weighted),,
United States,12/5/15,US,2015,48,Under 25 years,1217,2015-2019,Predicted (weighted),,
United States,12/12/15,US,2015,49,25-44 years,2443,2015-2019,Predicted (weighted),,
United States,12/12/15,US,2015,49,45-64 years,10471,2015-2019,Predicted (weighted),,
United States,12/12/15,US,2015,49,65-74 years,10021,2015-2019,Predicted (weighted),,
United States,12/12/15,US,2015,49,75-84 years,12524,2015-2019,Predicted (weighted),,
United States,12/12/15,US,2015,49,85 years and older,16977,2015-2019,Predicted (weighted),,
United States,12/12/15,US,2015,49,Under 25 years,1225,2015-2019,Predicted (weighted),,
United States,12/19/15,US,2015,50,25-44 years,2373,2015-2019,Predicted (weighted),,
United States,12/19/15,US,2015,50,45-64 years,10120,2015-2019,Predicted (weighted),,
United States,12/19/15,US,2015,50,65-74 years,9634,2015-2019,Predicted (weighted),,
United States,12/19/15,US,2015,50,75-84 years,12314,2015-2019,Predicted (weighted),,
United States,12/19/15,US,2015,50,85 years and older,16344,2015-2019,Predicted (weighted),,
United States,12/19/15,US,2015,50,Under 25 years,1163,2015-2019,Predicted (weighted),,
United States,12/26/15,US,2015,51,25-44 years,2374,2015-2019,Predicted (weighted),,
United States,12/26/15,US,2015,51,45-64 years,10413,2015-2019,Predicted (weighted),,
United States,12/26/15,US,2015,51,65-74 years,9757,2015-2019,Predicted (weighted),,
United States,12/26/15,US,2015,51,75-84 years,12574,2015-2019,Predicted (weighted),,
United States,12/26/15,US,2015,51,85 years and older,16522,2015-2019,Predicted (weighted),,
United States,12/26/15,US,2015,51,Under 25 years,1226,2015-2019,Predicted (weighted),,
United States,1/2/16,US,2015,52,25-44 years,2415,2015-2019,Predicted (weighted),,
United States,1/2/16,US,2015,52,45-64 years,10287,2015-2019,Predicted (weighted),,
United States,1/2/16,US,2015,52,65-74 years,9736,2015-2019,Predicted (weighted),,
United States,1/2/16,US,2015,52,75-84 years,12380,2015-2019,Predicted (weighted),,
United States,1/2/16,US,2015,52,85 years and older,16656,2015-2019,Predicted (weighted),,
United States,1/2/16,US,2015,52,Under 25 years,1160,2015-2019,Predicted (weighted),,
United States,1/9/16,US,2016,1,25-44 years,2470,2015-2019,Predicted (weighted),,
United States,1/9/16,US,2016,1,45-64 years,10913,2015-2019,Predicted (weighted),,
United States,1/9/16,US,2016,1,65-74 years,10267,2015-2019,Predicted (weighted),,
United States,1/9/16,US,2016,1,75-84 years,13103,2015-2019,Predicted (weighted),,
United States,1/9/16,US,2016,1,85 years and older,18027,2015-2019,Predicted (weighted),,
United States,1/9/16,US,2016,1,Under 25 years,1148,2015-2019,Predicted (weighted),,
United States,1/16/16,US,2016,2,25-44 years,2350,2015-2019,Predicted (weighted),,
United States,1/16/16,US,2016,2,45-64 years,10616,2015-2019,Predicted (weighted),,
United States,1/16/16,US,2016,2,65-74 years,10185,2015-2019,Predicted (weighted),,
United States,1/16/16,US,2016,2,75-84 years,13154,2015-2019,Predicted (weighted),,
United States,1/16/16,US,2016,2,85 years and older,18169,2015-2019,Predicted (weighted),,
United States,1/16/16,US,2016,2,Under 25 years,1179,2015-2019,Predicted (weighted),,
United States,1/23/16,US,2016,3,25-44 years,2427,2015-2019,Predicted (weighted),,
United States,1/23/16,US,2016,3,45-64 years,10689,2015-2019,Predicted (weighted),,
United States,1/23/16,US,2016,3,65-74 years,10112,2015-2019,Predicted (weighted),,
United States,1/23/16,US,2016,3,75-84 years,13053,2015-2019,Predicted (weighted),,
United States,1/23/16,US,2016,3,85 years and older,17844,2015-2019,Predicted (weighted),,
